""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000000581.8"	5179	2303	5248	8010	6155	5541
"ENSMUSG00000000594.7"	11116	5011	12171	14382	10952	10348
"ENSMUSG00000000600.15"	4530	2353	5398	7457	4843	5614
"ENSMUSG00000000605.9"	29528	13865	36816	45723	31337	34545
"ENSMUSG00000000606.18"	5	2	6	10	15	1
"ENSMUSG00000000617.14"	0	0	2	0	1	3
"ENSMUSG00000000627.15"	7164	3144	8150	9995	6913	7971
"ENSMUSG00000000628.10"	580	229	638	709	529	592
"ENSMUSG00000000631.20"	28861	13124	32613	38578	26021	34375
"ENSMUSG00000000632.13"	33330	15340	38005	47143	34441	40991
"ENSMUSG00000000673.9"	7	13	24	34	32	25
"ENSMUSG00000000682.7"	109	57	177	166	115	61
"ENSMUSG00000000686.11"	166	45	183	200	148	131
"ENSMUSG00000000690.5"	4	0	2	3	4	0
"ENSMUSG00000000693.10"	702	284	917	1053	695	694
"ENSMUSG00000000701.8"	0	0	0	0	1	1
"ENSMUSG00000000706.16"	1	1	5	15	9	9
"ENSMUSG00000000708.14"	2788	1401	3409	4403	3186	2886
"ENSMUSG00000000711.3"	22193	10047	25219	30790	21914	23294
"ENSMUSG00000000724.10"	10	6	9	0	11	15
"ENSMUSG00000000730.13"	12	0	13	25	13	9
"ENSMUSG00000000731.15"	7	10	14	13	15	20
"ENSMUSG00000000732.9"	453	229	507	713	327	423
"ENSMUSG00000000738.18"	6927	3238	7916	9303	7385	7563
"ENSMUSG00000000739.14"	55	29	61	110	23	60
"ENSMUSG00000000740.12"	31187	14649	39034	48285	36385	31971
"ENSMUSG00000000743.9"	14976	6920	18091	22050	16506	14871
"ENSMUSG00000000751.13"	7053	3179	7851	9981	6980	6946
"ENSMUSG00000000753.15"	1793	819	2317	3008	2030	1855
"ENSMUSG00000000759.14"	4533	2063	5379	6779	4917	5129
"ENSMUSG00000000766.18"	149	76	182	251	109	225
"ENSMUSG00000000776.13"	2284	1155	2476	3097	2202	2439
"ENSMUSG00000000782.15"	375	254	504	643	621	478
"ENSMUSG00000000787.12"	31434	14896	44535	56931	39448	37422
"ENSMUSG00000000791.9"	94	29	89	114	75	101
"ENSMUSG00000000792.2"	3144	1289	3239	5374	3631	3465
"ENSMUSG00000000794.9"	3071	1549	3413	4025	2909	4098
"ENSMUSG00000000804.14"	21186	9766	23370	30221	19910	24356
"ENSMUSG00000000805.18"	3208	1677	4205	5299	3943	3640
"ENSMUSG00000000811.13"	605	347	795	997	830	797
"ENSMUSG00000000817.10"	9	0	10	28	16	16
"ENSMUSG00000000823.16"	8004	3329	8319	10290	8064	10485
"ENSMUSG00000000826.16"	55812	24408	62779	79904	55576	63456
"ENSMUSG00000000827.18"	5547	2878	6872	8691	6188	5575
"ENSMUSG00000000838.17"	11211	4691	11278	15577	11292	12149
"ENSMUSG00000000861.15"	14231	5719	15362	18075	13473	15216
"ENSMUSG00000000869.12"	265	237	307	311	263	285
"ENSMUSG00000000876.11"	2348	1019	2736	3437	2541	2393
"ENSMUSG00000000881.12"	29427	12151	30942	39314	28332	34162
"ENSMUSG00000000884.17"	501	276	535	723	564	505
"ENSMUSG00000000889.8"	98	41	123	103	111	364
"ENSMUSG00000000901.17"	114	69	168	173	116	167
"ENSMUSG00000000902.13"	7557	3609	8906	11269	8304	8009
"ENSMUSG00000000903.3"	5	11	6	31	2	5
"ENSMUSG00000000915.15"	14167	6715	17272	20266	14248	15220
"ENSMUSG00000000916.15"	1161	650	1425	1685	1315	1309
"ENSMUSG00000000934.9"	1375	708	1614	1947	1275	1561
"ENSMUSG00000000938.11"	0	0	0	0	0	0
"ENSMUSG00000000942.10"	0	0	0	2	0	10
"ENSMUSG00000000948.16"	2669	652	1890	2859	1829	2504
"ENSMUSG00000000957.11"	1652	835	1757	2232	1728	1703
"ENSMUSG00000000958.10"	234	170	304	369	282	224
"ENSMUSG00000000959.7"	6173	2814	7009	8608	6470	6489
"ENSMUSG00000000976.13"	1737	888	2215	2612	2027	2212
"ENSMUSG00000000982.5"	11	2	17	12	15	20
"ENSMUSG00000000983.13"	32	28	94	88	84	54
"ENSMUSG00000001014.6"	162	83	200	195	153	149
"ENSMUSG00000001016.12"	9857	4384	11737	14834	10734	10013
"ENSMUSG00000001017.15"	22483	10012	26222	32350	23858	23742
"ENSMUSG00000001018.15"	5164	2508	7042	7996	5982	5488
"ENSMUSG00000001020.8"	90	38	87	117	46	113
"ENSMUSG00000001021.12"	57	36	82	101	41	64
"ENSMUSG00000001023.10"	5	2	29	10	118	6
"ENSMUSG00000001025.8"	1328	809	1967	2409	1620	1475
"ENSMUSG00000001027.7"	12	0	0	4	6	3
"ENSMUSG00000001029.15"	208	178	213	231	254	198
"ENSMUSG00000001034.17"	2438	1177	2606	2897	2414	2658
"ENSMUSG00000001036.17"	16149	8250	18267	23384	15383	17184
"ENSMUSG00000001039.12"	839	428	1023	1294	1008	929
"ENSMUSG00000001052.15"	6948	3275	8425	9567	6758	8570
"ENSMUSG00000001053.15"	1513	683	1883	1804	1260	1371
"ENSMUSG00000001054.9"	6051	2960	7190	8773	6042	6380
"ENSMUSG00000001056.3"	3719	1727	4193	5277	3963	3639
"ENSMUSG00000001062.18"	6888	3248	7824	9746	7073	8110
"ENSMUSG00000001065.15"	1763	810	2544	2453	1904	2067
"ENSMUSG00000001076.7"	2	16	9	8	8	12
"ENSMUSG00000001082.12"	1353	660	1697	1918	1444	1685
"ENSMUSG00000001089.14"	11816	5530	13269	15413	10464	11754
"ENSMUSG00000001095.5"	5	0	0	0	0	0
"ENSMUSG00000001098.15"	6465	3239	7919	9625	6138	6629
"ENSMUSG00000001100.10"	11001	5113	13175	16097	11967	11429
"ENSMUSG00000001103.7"	248	96	300	359	242	184
"ENSMUSG00000001105.15"	5241	2516	6512	7897	5956	5762
"ENSMUSG00000001119.7"	3850	2193	6122	6860	5156	5518
"ENSMUSG00000001120.15"	7111	2924	8668	9105	9852	7923
"ENSMUSG00000001123.15"	690	377	808	961	762	577
"ENSMUSG00000001127.12"	17597	8569	20240	26351	19574	19559
"ENSMUSG00000001128.7"	184	149	290	296	232	275
"ENSMUSG00000001131.11"	73	22	65	158	91	83
"ENSMUSG00000001134.9"	498	224	671	911	690	489
"ENSMUSG00000001138.13"	4013	1901	4639	5816	4046	4347
"ENSMUSG00000001143.13"	4383	2496	5217	6632	4602	4960
"ENSMUSG00000001150.7"	7319	3051	8421	9783	6693	8751
"ENSMUSG00000001151.10"	4662	1652	5418	6007	3989	5441
"ENSMUSG00000001155.13"	4	13	4	13	14	8
"ENSMUSG00000001156.9"	3809	1535	4516	5244	3583	4092
"ENSMUSG00000001157.13"	3760	1546	4086	4995	3658	4246
"ENSMUSG00000001158.13"	3256	1548	3995	5400	3944	3492
"ENSMUSG00000001166.17"	164	71	218	203	184	130
"ENSMUSG00000001168.16"	1	2	0	0	4	0
"ENSMUSG00000001173.15"	7985	3849	9187	11364	7469	9577
"ENSMUSG00000001175.14"	433833	199635	489001	630342	439858	436851
"ENSMUSG00000001211.15"	42579	19391	49374	57923	44157	47001
"ENSMUSG00000001225.12"	20	30	26	32	25	21
"ENSMUSG00000001227.12"	26602	11485	28410	35596	27929	29432
"ENSMUSG00000001228.14"	229	150	399	375	242	287
"ENSMUSG00000001229.9"	9559	4447	10954	13220	8756	11040
"ENSMUSG00000001240.13"	2473	1680	3308	3391	2659	2523
"ENSMUSG00000001247.16"	747	573	1012	1245	912	751
"ENSMUSG00000001248.15"	9520	4720	11259	13527	9335	11223
"ENSMUSG00000001249.14"	41	12	49	74	24	43
"ENSMUSG00000001260.10"	3910	2016	4367	5803	4699	4495
"ENSMUSG00000001270.9"	173807	83692	234058	270822	217354	200829
"ENSMUSG00000001280.13"	2731	1318	3526	4394	2905	3336
"ENSMUSG00000001281.10"	92	66	171	144	141	91
"ENSMUSG00000001285.12"	2738	1457	3546	4262	3131	2817
"ENSMUSG00000001288.15"	991	516	1107	1477	943	999
"ENSMUSG00000001289.12"	10638	5230	13839	16956	12086	10842
"ENSMUSG00000001300.16"	10518	4652	11150	14986	9893	12845
"ENSMUSG00000001305.5"	749	380	796	1005	764	734
"ENSMUSG00000001313.12"	13528	7246	14261	19888	14322	13303
"ENSMUSG00000001323.17"	14274	6045	15178	19440	13316	15723
"ENSMUSG00000001333.9"	99	56	114	180	65	99
"ENSMUSG00000001334.9"	11157	4789	13411	15232	13432	10834
"ENSMUSG00000001348.15"	41	16	42	81	58	48
"ENSMUSG00000001349.5"	40	15	51	92	81	98
"ENSMUSG00000001366.14"	14498	6578	16460	21155	14922	15205
"ENSMUSG00000001376.17"	9485	4124	10976	13721	9085	10192
"ENSMUSG00000001380.7"	12046	5513	13122	16137	11226	13152
"ENSMUSG00000001383.9"	18991	8165	20499	27376	19923	19080
"ENSMUSG00000001403.13"	93	52	148	176	128	96
"ENSMUSG00000001415.10"	10725	5091	12498	15092	11242	12559
"ENSMUSG00000001416.13"	14088	6507	15996	20172	14442	14476
