""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000022634.9"	12756	5747	12808	18473	13796	13149
"ENSMUSG00000022635.9"	3893	1973	4540	5752	4292	4158
"ENSMUSG00000022636.13"	24668	11519	26428	39947	24331	31234
"ENSMUSG00000022637.11"	2707	1219	3218	3826	2592	3194
"ENSMUSG00000022641.15"	3264	1561	3809	4862	3070	3479
"ENSMUSG00000022650.7"	0	0	0	0	0	0
"ENSMUSG00000022651.6"	4	15	6	15	29	15
"ENSMUSG00000022652.7"	6	2	4	10	12	4
"ENSMUSG00000022656.15"	4427	1987	5272	6796	4783	5546
"ENSMUSG00000022657.9"	1	0	19	18	0	0
"ENSMUSG00000022658.10"	28520	13227	32176	39727	28636	27743
"ENSMUSG00000022659.13"	0	0	0	0	0	0
"ENSMUSG00000022661.14"	15075	6871	15809	21106	14149	15943
"ENSMUSG00000022663.3"	4778	2326	5739	7097	4738	5260
"ENSMUSG00000022664.11"	6221	2815	6580	8872	5920	6012
"ENSMUSG00000022665.15"	1206	493	1294	1762	1233	1277
"ENSMUSG00000022667.18"	60	49	70	67	66	66
"ENSMUSG00000022668.10"	3501	1449	3967	5044	3461	3489
"ENSMUSG00000022671.13"	2379	1175	2788	3496	2737	2519
"ENSMUSG00000022672.8"	2573	959	2890	3502	2190	3214
"ENSMUSG00000022673.5"	1421	614	1773	2330	1570	1613
"ENSMUSG00000022674.15"	12119	5319	13448	19206	13953	13730
"ENSMUSG00000022676.7"	78	43	83	172	89	87
"ENSMUSG00000022677.15"	4958	2302	6269	8262	5912	5031
"ENSMUSG00000022678.16"	2576	1302	3164	3803	2600	2199
"ENSMUSG00000022679.13"	10812	4326	11046	15999	10563	11388
"ENSMUSG00000022680.14"	12291	5144	13929	16986	11056	11963
"ENSMUSG00000022681.15"	4441	2222	5733	6636	4876	4835
"ENSMUSG00000022682.8"	8460	3817	9451	12126	8607	8906
"ENSMUSG00000022683.13"	2	0	7	5	0	0
"ENSMUSG00000022684.15"	4651	2198	5574	6821	4918	5046
"ENSMUSG00000022685.9"	3327	1326	3814	4706	3470	3440
"ENSMUSG00000022686.14"	174	95	211	222	173	177
"ENSMUSG00000022687.12"	2758	1128	3063	3356	2419	2902
"ENSMUSG00000022696.17"	7730	3311	8615	10655	7100	9410
"ENSMUSG00000022698.17"	11694	5473	12540	16952	11702	12557
"ENSMUSG00000022701.18"	450	174	481	703	470	500
"ENSMUSG00000022702.16"	7620	3660	9117	10427	7930	8484
"ENSMUSG00000022704.15"	1128	477	1314	1628	1151	1283
"ENSMUSG00000022705.5"	18	27	64	58	46	82
"ENSMUSG00000022706.16"	2983	1405	3761	4521	3413	2921
"ENSMUSG00000022707.16"	1852	778	1960	2230	1839	1793
"ENSMUSG00000022708.16"	7067	3697	9132	10030	6801	9899
"ENSMUSG00000022710.17"	17489	7953	20349	25564	17959	21235
"ENSMUSG00000022711.16"	1474	750	1762	2292	1721	1695
"ENSMUSG00000022715.3"	303	189	306	442	511	407
"ENSMUSG00000022718.12"	1990	1025	2228	2950	2046	2339
"ENSMUSG00000022721.19"	1699	896	2179	2590	1770	1929
"ENSMUSG00000022722.18"	2918	1629	3228	4937	3493	2876
"ENSMUSG00000022723.16"	1073	617	1508	1826	1340	1447
"ENSMUSG00000022724.15"	1172	630	1586	1856	1247	1123
"ENSMUSG00000022738.7"	8	1	13	6	17	4
"ENSMUSG00000022742.6"	6359	3383	8354	9963	6602	6486
"ENSMUSG00000022744.12"	8453	4248	10451	12550	9242	8723
"ENSMUSG00000022747.17"	2370	1128	2956	3292	2530	2379
"ENSMUSG00000022748.8"	883	416	1142	1437	1160	875
"ENSMUSG00000022749.8"	3978	1718	4573	5906	4156	4696
"ENSMUSG00000022750.18"	10490	4863	12455	14937	10457	11670
"ENSMUSG00000022751.9"	1035	452	1093	1550	1216	1002
"ENSMUSG00000022752.9"	33691	15845	36983	49780	34448	37303
"ENSMUSG00000022753.15"	61	13	62	101	38	66
"ENSMUSG00000022754.6"	65	71	113	142	88	85
"ENSMUSG00000022755.4"	2	0	1	0	0	1
"ENSMUSG00000022756.17"	11499	4906	12383	16312	10146	12490
"ENSMUSG00000022757.19"	6822	3484	7270	8842	6731	7287
"ENSMUSG00000022758.14"	637	287	762	983	621	713
"ENSMUSG00000022759.15"	89	52	155	221	116	132
"ENSMUSG00000022760.17"	2657	1361	3178	4498	2735	3127
"ENSMUSG00000022761.12"	21039	9854	24129	28842	19832	21152
"ENSMUSG00000022762.18"	13695	5412	12100	18354	12280	17901
"ENSMUSG00000022763.18"	5450	2789	7852	9907	5914	6850
"ENSMUSG00000022765.10"	3869	1900	4017	5117	3638	4131
"ENSMUSG00000022766.14"	544	221	705	984	442	477
"ENSMUSG00000022768.17"	317	134	409	487	313	342
"ENSMUSG00000022769.9"	1073	1300	1409	1721	1303	1061
"ENSMUSG00000022770.17"	24602	11656	27726	36821	23916	26799
"ENSMUSG00000022771.17"	7229	3329	8460	10448	7690	7449
"ENSMUSG00000022772.12"	8554	4037	9878	12394	8413	9907
"ENSMUSG00000022773.18"	4916	2138	5397	6723	4730	5548
"ENSMUSG00000022774.13"	6436	3163	7224	9133	6692	6558
"ENSMUSG00000022779.16"	3002	1442	3674	4280	3235	3687
"ENSMUSG00000022780.5"	85	52	144	187	166	153
"ENSMUSG00000022781.8"	7547	3429	8749	11026	7720	7789
"ENSMUSG00000022783.11"	750	321	870	887	502	758
"ENSMUSG00000022787.10"	851	434	1185	1411	984	1026
"ENSMUSG00000022788.16"	4920	2234	4860	6296	4482	5535
"ENSMUSG00000022789.15"	29223	12769	31300	40771	27349	33108
"ENSMUSG00000022790.14"	4739	2260	5147	6641	4762	5366
"ENSMUSG00000022791.18"	22735	11524	28645	34359	22950	26931
"ENSMUSG00000022792.16"	2033	981	2330	2906	2182	2183
"ENSMUSG00000022793.17"	2507	1181	2948	3473	2774	2518
"ENSMUSG00000022797.16"	17252	7074	19252	21967	17360	19027
"ENSMUSG00000022798.8"	0	0	0	0	0	0
"ENSMUSG00000022799.4"	3817	2420	4747	5860	3897	4220
"ENSMUSG00000022800.14"	13322	6246	13183	18389	13190	14001
"ENSMUSG00000022801.13"	2204	1226	2876	3351	2169	2743
"ENSMUSG00000022802.2"	2130	873	2248	2664	1994	2585
"ENSMUSG00000022803.12"	18	7	50	54	39	32
"ENSMUSG00000022805.17"	317	155	404	625	381	433
"ENSMUSG00000022807.9"	2925	1255	3256	3741	2655	3350
"ENSMUSG00000022808.5"	5826	2736	6515	8290	5766	6437
"ENSMUSG00000022809.4"	0	0	0	0	4	3
"ENSMUSG00000022811.17"	15183	6222	16282	21263	14712	17328
"ENSMUSG00000022812.14"	31968	14028	34970	44413	30843	39218
"ENSMUSG00000022814.6"	2173	1013	2414	3445	2161	2319
"ENSMUSG00000022816.11"	6771	3133	7062	10108	6530	7092
"ENSMUSG00000022817.15"	5981	3161	7595	9543	6132	6794
"ENSMUSG00000022818.13"	3	0	0	0	0	0
"ENSMUSG00000022820.4"	5598	2850	7681	9164	6966	5551
"ENSMUSG00000022821.13"	2	1	12	3	6	3
"ENSMUSG00000022822.16"	11035	5398	13151	16795	10931	15769
"ENSMUSG00000022824.12"	4	0	4	0	1	4
"ENSMUSG00000022827.14"	992	370	1253	1472	1009	921
"ENSMUSG00000022828.10"	2753	1207	2796	3609	2454	2629
"ENSMUSG00000022829.14"	4661	1858	5119	5670	3408	5566
"ENSMUSG00000022831.14"	621	268	577	746	512	618
"ENSMUSG00000022832.11"	8	13	26	8	7	9
"ENSMUSG00000022833.7"	367	105	376	465	380	297
"ENSMUSG00000022836.11"	2350	1064	2514	3076	2265	2647
"ENSMUSG00000022837.14"	2802	1138	3163	4582	2894	3058
"ENSMUSG00000022838.14"	72	51	79	107	107	94
"ENSMUSG00000022840.9"	44510	22901	48771	67321	44995	51738
"ENSMUSG00000022841.15"	93594	41645	107436	128570	94676	98978
"ENSMUSG00000022842.18"	1969	1281	2492	3181	2019	2326
"ENSMUSG00000022843.17"	6448	2716	8362	9663	6489	7427
"ENSMUSG00000022844.8"	209	137	229	319	280	206
"ENSMUSG00000022847.15"	122	84	153	261	128	218
"ENSMUSG00000022848.8"	12287	5789	14145	17248	13035	12525
"ENSMUSG00000022849.5"	535	210	670	761	533	579
"ENSMUSG00000022853.7"	447	218	510	620	457	481
"ENSMUSG00000022855.9"	15559	6838	16638	20951	15035	16760
"ENSMUSG00000022856.9"	1561	625	1890	2130	1648	1692
"ENSMUSG00000022857.13"	5	1	4	12	0	0
"ENSMUSG00000022858.16"	9338	4561	10872	13577	10473	9937
"ENSMUSG00000022860.15"	249	99	234	414	207	307
"ENSMUSG00000022861.17"	6330	2721	6316	8819	4511	7126
"ENSMUSG00000022863.15"	1948	1002	2317	2949	1911	2166
"ENSMUSG00000022864.14"	1439	603	1636	1857	1133	1399
"ENSMUSG00000022865.14"	4503	1962	4715	6166	5038	5525
"ENSMUSG00000022867.10"	5076	2174	5232	6827	4780	5470
"ENSMUSG00000022868.6"	0	0	1	1	0	0
"ENSMUSG00000022871.13"	9	2	9	8	0	10
"ENSMUSG00000022875.18"	0	0	0	0	0	0
"ENSMUSG00000022876.18"	194	103	239	273	347	240
"ENSMUSG00000022877.9"	0	0	0	0	0	0
"ENSMUSG00000022878.5"	0	0	3	9	0	8
"ENSMUSG00000022881.15"	343	138	450	533	376	348
"ENSMUSG00000022883.11"	6275	3085	6949	8155	5632	8161
"ENSMUSG00000022884.15"	84613	41061	100152	134556	92207	88965
"ENSMUSG00000022885.16"	3193	1524	3829	4758	3172	3349
"ENSMUSG00000022886.5"	0	0	0	0	0	0
"ENSMUSG00000022887.9"	2168	1004	2380	3193	2310	2303
"ENSMUSG00000022889.7"	3079	1421	3490	4686	3258	3162
"ENSMUSG00000022890.13"	15429	7818	19711	24613	18240	16612
"ENSMUSG00000022892.11"	275277	119312	293919	369145	253780	293666
"ENSMUSG00000022893.14"	1323	599	1397	1452	1239	1429
"ENSMUSG00000022894.6"	422	232	642	786	676	559
"ENSMUSG00000022895.16"	11237	5249	12779	15814	10138	12925
"ENSMUSG00000022897.15"	12504	5115	13444	17029	11558	13637
"ENSMUSG00000022898.13"	3578	1849	4612	5179	3847	3736
"ENSMUSG00000022899.9"	1931	1111	2581	3510	2313	2425
"ENSMUSG00000022900.14"	109	37	87	126	53	61
"ENSMUSG00000022901.13"	290	155	384	513	309	274
"ENSMUSG00000022902.8"	0	0	0	0	0	0
"ENSMUSG00000022905.12"	22145	10044	25031	31890	21593	24687
"ENSMUSG00000022906.15"	393	193	407	639	529	471
"ENSMUSG00000022911.11"	1118	545	1215	1584	1104	1157
"ENSMUSG00000022912.8"	1709	751	1984	2290	1915	1757
"ENSMUSG00000022913.16"	1198	608	1302	1742	1280	1224
"ENSMUSG00000022914.17"	12393	6013	15310	18815	12614	14165
"ENSMUSG00000022931.7"	0	0	0	0	0	0
"ENSMUSG00000022935.16"	2143	969	2096	2943	2047	2306
"ENSMUSG00000022938.8"	0	0	0	0	3	0
"ENSMUSG00000022940.17"	2089	964	2798	3367	2422	2437
"ENSMUSG00000022941.8"	31	24	54	81	52	55
"ENSMUSG00000022945.12"	55	39	119	154	59	63
"ENSMUSG00000022946.10"	11429	4971	13799	15765	10230	13721
"ENSMUSG00000022947.8"	1175	635	1270	1877	1345	1128
"ENSMUSG00000022948.16"	546	289	760	791	685	800
"ENSMUSG00000022949.9"	1862	986	2186	2567	1294	2604
"ENSMUSG00000022951.16"	7631	3681	8956	10576	7241	7659
"ENSMUSG00000022952.17"	148	43	187	239	154	185
"ENSMUSG00000022956.11"	19240	9496	22134	26606	20691	18682
"ENSMUSG00000022957.20"	17461	8278	19340	24263	16642	20659
"ENSMUSG00000022960.13"	1265	611	1585	1867	1297	1599
"ENSMUSG00000022961.18"	27479	12705	33361	39735	25758	36141
"ENSMUSG00000022962.15"	4711	2076	5436	6282	4407	4748
"ENSMUSG00000022964.14"	14298	6688	15807	19823	14185	14615
"ENSMUSG00000022965.8"	6878	3355	7265	9036	6341	6905
"ENSMUSG00000022967.13"	5916	2630	6368	8005	5713	6221
"ENSMUSG00000022969.13"	744	529	999	1460	890	788
"ENSMUSG00000022971.18"	2067	861	2678	2839	2118	2137
"ENSMUSG00000022972.10"	3507	1613	4259	4933	3870	3528
"ENSMUSG00000022973.18"	56883	23158	61414	76795	49615	66131
"ENSMUSG00000022974.12"	2348	1141	2984	3703	2649	3305
"ENSMUSG00000022978.11"	578	224	770	829	707	700
"ENSMUSG00000022982.10"	17537	8836	21789	25809	19138	17766
"ENSMUSG00000022983.16"	3415	1460	3876	4270	2933	4162
"ENSMUSG00000022986.5"	4	1	0	1	7	3
"ENSMUSG00000022987.12"	1073	380	1360	1618	1088	1330
"ENSMUSG00000022991.5"	0	0	0	0	0	3
"ENSMUSG00000022992.17"	7373	3368	8476	10836	8075	8401
"ENSMUSG00000022993.7"	9	3	7	2	7	10
"ENSMUSG00000022994.9"	5804	3075	6780	8116	5242	7254
"ENSMUSG00000022995.16"	17129	7913	19924	24528	16981	21766
"ENSMUSG00000022996.15"	131	44	175	159	140	127
"ENSMUSG00000022997.9"	138	59	132	196	146	126
"ENSMUSG00000022999.15"	607	341	847	1024	772	743
"ENSMUSG00000023000.5"	63	19	31	42	37	40
"ENSMUSG00000023004.8"	92134	41451	107863	130136	93627	97887
"ENSMUSG00000023007.15"	5308	2707	6321	7482	5642	7360
"ENSMUSG00000023008.18"	1546	921	2011	2405	1793	1824
"ENSMUSG00000023009.14"	2856	1200	3079	3520	3103	3650
"ENSMUSG00000023010.15"	52264	23509	59081	71568	52934	51852
"ENSMUSG00000023011.8"	69268	31691	83069	103479	69809	76684
"ENSMUSG00000023013.5"	5	1	5	18	9	27
"ENSMUSG00000023015.14"	1691	705	2230	2705	2038	1902
"ENSMUSG00000023017.10"	9833	5274	11457	14551	11154	11720
"ENSMUSG00000023018.5"	23678	10770	28181	33159	26366	27311
"ENSMUSG00000023019.12"	14107	5962	17103	22169	14885	15408
"ENSMUSG00000023020.2"	4943	2541	6053	7517	5873	5231
"ENSMUSG00000023021.15"	4866	2440	5580	6471	4863	5199
"ENSMUSG00000023022.14"	2057	1115	2697	3404	2202	2377
"ENSMUSG00000023025.16"	7946	2908	7247	9991	7276	8635
"ENSMUSG00000023026.16"	11807	4871	13990	16501	10900	14135
"ENSMUSG00000023027.13"	1396	563	1369	2297	1395	1629
"ENSMUSG00000023030.16"	5341	2188	6355	7599	5366	6415
"ENSMUSG00000023031.8"	287	88	337	416	291	307
"ENSMUSG00000023032.12"	13779	6129	16701	21710	13827	19362
"ENSMUSG00000023033.14"	43913	18051	51974	59411	39881	54744
"ENSMUSG00000023034.7"	6787	2945	9701	6389	6539	8717
"ENSMUSG00000023036.14"	23456	8678	26433	34109	27828	24576
"ENSMUSG00000023039.17"	39	18	54	81	27	37
"ENSMUSG00000023041.7"	0	0	0	0	0	0
"ENSMUSG00000023043.7"	122	70	129	208	68	149
"ENSMUSG00000023044.2"	2378	1185	3053	3937	2850	3066
"ENSMUSG00000023045.13"	18	3	53	46	45	25
"ENSMUSG00000023046.6"	4448	2051	6252	8061	5310	4586
"ENSMUSG00000023047.11"	43	29	67	87	63	50
"ENSMUSG00000023048.13"	3624	1819	4134	5729	3661	3855
"ENSMUSG00000023050.9"	15656	7266	18924	22106	14966	17848
"ENSMUSG00000023051.11"	1890	843	2289	2679	2030	2120
"ENSMUSG00000023052.8"	17	5	43	32	20	46
"ENSMUSG00000023055.10"	8463	3750	9463	11831	8079	9032
"ENSMUSG00000023057.5"	1	2	0	1	0	0
"ENSMUSG00000023064.4"	132	230	206	348	188	357
"ENSMUSG00000023066.10"	355	154	483	659	469	532
"ENSMUSG00000023067.14"	2944	2073	3793	4002	3791	3436
"ENSMUSG00000023068.16"	13507	6610	15477	19842	14029	15281
"ENSMUSG00000023070.6"	22	3	16	27	19	14
"ENSMUSG00000023072.14"	1307	623	1561	1649	1271	1416
"ENSMUSG00000023073.2"	11	18	13	20	27	13
"ENSMUSG00000023074.11"	1383	646	1525	2050	1325	1401
"ENSMUSG00000023075.9"	9304	4604	11092	13636	9818	10580
"ENSMUSG00000023078.6"	3	1	8	8	1	3
"ENSMUSG00000023079.14"	2948	1275	3535	3991	3013	3431
"ENSMUSG00000023083.7"	2	0	0	13	10	10
"ENSMUSG00000023084.11"	111	47	151	242	116	184
"ENSMUSG00000023087.15"	25596	15917	31387	40883	25933	28087
"ENSMUSG00000023088.17"	2376	956	2843	3403	2376	2940
"ENSMUSG00000023089.12"	6234	3197	7318	9463	6939	6675
"ENSMUSG00000023092.16"	9869	4907	12275	14428	11078	11382
"ENSMUSG00000023093.7"	0	0	0	0	0	0
"ENSMUSG00000023094.14"	1555	820	2036	2167	1584	1399
"ENSMUSG00000023104.9"	4100	1777	4958	5807	4497	4289
"ENSMUSG00000023106.15"	7182	3173	8311	10589	7864	7804
"ENSMUSG00000023110.12"	8242	3501	9052	11393	7962	8542
"ENSMUSG00000023118.15"	17414	8723	20286	25616	17551	21666
"ENSMUSG00000023120.9"	6	0	16	5	2	20
"ENSMUSG00000023122.6"	8	2	11	10	7	10
"ENSMUSG00000023132.8"	4	8	14	0	9	0
"ENSMUSG00000023140.4"	52	18	86	62	57	81
"ENSMUSG00000023143.10"	936	632	1315	1397	1160	1001
"ENSMUSG00000023147.17"	6717	3537	7845	9740	6808	6670
"ENSMUSG00000023150.14"	18852	8694	20138	27539	19803	20805
"ENSMUSG00000023151.9"	0	2	5	9	0	3
"ENSMUSG00000023153.9"	66	23	108	167	65	113
"ENSMUSG00000023156.4"	3999	1978	4546	6645	4456	4592
"ENSMUSG00000023159.8"	3	0	4	4	0	11
"ENSMUSG00000023165.13"	0	2	0	6	0	0
"ENSMUSG00000023169.15"	25874	12083	30445	37346	26664	31621
"ENSMUSG00000023170.14"	1717	817	2015	2460	1768	1900
"ENSMUSG00000023175.15"	50957	27740	59291	70151	55807	49761
"ENSMUSG00000023176.9"	0	3	5	0	2	2
"ENSMUSG00000023185.4"	0	0	0	0	0	0
"ENSMUSG00000023186.14"	1601	916	2111	2498	1596	1751
"ENSMUSG00000023191.9"	1159	632	1570	2028	1540	1718
"ENSMUSG00000023192.12"	8357	3034	10771	10278	9006	9446
"ENSMUSG00000023206.16"	213	145	252	425	323	302
"ENSMUSG00000023210.2"	0	0	0	0	0	0
"ENSMUSG00000023216.13"	16	9	4	22	19	15
"ENSMUSG00000023224.12"	1472	538	1756	2177	1484	1379
"ENSMUSG00000023232.17"	332	206	464	586	351	369
"ENSMUSG00000023235.14"	445	211	468	646	536	550
"ENSMUSG00000023236.7"	24523	15893	29147	37816	27223	25706
"ENSMUSG00000023243.9"	223	63	262	341	243	215
"ENSMUSG00000023247.2"	0	0	0	0	4	0
"ENSMUSG00000023249.15"	387	239	496	811	419	467
"ENSMUSG00000023257.3"	0	0	0	0	0	0
"ENSMUSG00000023259.16"	524	284	541	655	543	631
"ENSMUSG00000023262.13"	1021	462	1301	1842	956	889
"ENSMUSG00000023263.3"	0	0	0	0	0	0
"ENSMUSG00000023266.11"	2136	1062	2416	3205	2280	2351
"ENSMUSG00000023267.10"	37	12	55	67	44	47
"ENSMUSG00000023272.4"	1110	1018	1577	2127	1556	1224
"ENSMUSG00000023274.14"	1277	601	1307	2129	1115	1043
"ENSMUSG00000023277.13"	5861	2779	6855	8353	5989	5775
"ENSMUSG00000023279.7"	34	28	50	80	38	44
"ENSMUSG00000023284.15"	1389	587	1520	1725	1244	1624
"ENSMUSG00000023286.16"	5000	2579	6135	7441	5334	5446
"ENSMUSG00000023289.11"	0	0	0	0	0	0
"ENSMUSG00000023307.14"	4500	1885	5030	6218	4438	4589
"ENSMUSG00000023328.14"	7994	4521	9170	11115	8660	9004
"ENSMUSG00000023330.12"	867	392	1012	1128	911	787
"ENSMUSG00000023333.8"	9	6	0	0	0	1
"ENSMUSG00000023336.6"	943	495	1094	1497	1100	747
"ENSMUSG00000023341.15"	112	54	98	132	110	82
"ENSMUSG00000023345.17"	1615	634	1372	1704	1800	1979
"ENSMUSG00000023348.11"	459	224	567	777	455	593
"ENSMUSG00000023349.14"	45	13	20	49	40	45
"ENSMUSG00000023350.5"	1	0	0	0	0	4
"ENSMUSG00000023353.14"	36882	17246	42344	51331	36136	39035
"ENSMUSG00000023367.14"	1718	1002	2067	2897	1643	1707
"ENSMUSG00000023387.8"	2	0	4	6	0	0
"ENSMUSG00000023391.8"	1073	536	1480	1585	1958	1514
"ENSMUSG00000023393.15"	50	27	59	69	85	46
"ENSMUSG00000023403.14"	4	7	3	6	0	2
"ENSMUSG00000023411.12"	311	153	340	447	319	331
"ENSMUSG00000023433.8"	0	0	0	3	0	0
"ENSMUSG00000023439.11"	15	8	55	35	7	10
"ENSMUSG00000023443.13"	0	1	4	0	0	0
"ENSMUSG00000023452.19"	5692	3073	7496	8755	6320	6600
"ENSMUSG00000023456.15"	76429	37311	84620	110786	79996	76957
"ENSMUSG00000023460.13"	14279	6140	15677	20127	14881	14987
"ENSMUSG00000023467.18"	12	4	22	24	14	15
"ENSMUSG00000023473.13"	2793	1490	3734	4389	3180	4938
"ENSMUSG00000023484.14"	326	173	415	416	226	274
"ENSMUSG00000023495.13"	15560	7563	19474	21786	15312	16363
"ENSMUSG00000023505.13"	141	66	263	205	147	145
"ENSMUSG00000023571.4"	795	552	1122	1724	955	927
"ENSMUSG00000023572.16"	6009	2724	7491	9222	6030	6337
"ENSMUSG00000023577.15"	0	0	4	8	0	0
"ENSMUSG00000023707.13"	3129	1578	3849	4733	3444	3511
"ENSMUSG00000023723.17"	1850	1038	2515	3229	2592	2160
"ENSMUSG00000023755.10"	412	197	561	622	535	598
"ENSMUSG00000023764.18"	1238	852	1806	2819	1763	2508
"ENSMUSG00000023781.2"	117	58	141	195	81	146
"ENSMUSG00000023791.16"	1173	566	1374	1774	1242	1252
"ENSMUSG00000023795.16"	464	260	498	639	478	649
"ENSMUSG00000023800.15"	9700	4291	11568	13757	10692	11497
"ENSMUSG00000023802.4"	10	0	11	11	20	4
"ENSMUSG00000023805.17"	10442	5592	12271	15508	8671	12244
"ENSMUSG00000023806.10"	3349	1678	3613	5076	3195	3894
"ENSMUSG00000023809.10"	11569	5850	13069	15595	10037	12774
"ENSMUSG00000023826.16"	602	275	757	894	536	739
"ENSMUSG00000023827.8"	7159	3538	8033	9211	6831	6712
"ENSMUSG00000023828.3"	494	281	545	638	509	598
"ENSMUSG00000023829.9"	32	5	38	31	42	25
"ENSMUSG00000023830.14"	5499	2144	5729	6915	4141	6633
"ENSMUSG00000023832.14"	6868	2849	7678	9267	6483	7143
"ENSMUSG00000023845.7"	16853	6596	18668	23845	15525	21134
"ENSMUSG00000023852.14"	2676	1258	3137	3650	2851	3341
"ENSMUSG00000023861.17"	14167	6386	16430	21959	16674	14070
"ENSMUSG00000023868.17"	22802	13989	22517	36248	22039	29734
"ENSMUSG00000023873.13"	76	60	131	146	92	92
"ENSMUSG00000023882.15"	96	41	88	146	72	73
"ENSMUSG00000023883.13"	7171	3596	8190	10240	7691	7838
"ENSMUSG00000023885.9"	1352	564	1715	2345	1504	1455
"ENSMUSG00000023886.10"	1711	815	1902	2249	1684	1441
"ENSMUSG00000023892.8"	452	233	571	773	513	528
"ENSMUSG00000023902.18"	6	0	22	6	0	1
"ENSMUSG00000023903.8"	31	44	85	63	67	70
"ENSMUSG00000023904.10"	6944	3403	8453	10338	7813	7127
"ENSMUSG00000023905.15"	362	294	523	477	410	360
"ENSMUSG00000023906.3"	0	1	4	3	2	0
"ENSMUSG00000023908.8"	646	287	950	1090	735	820
"ENSMUSG00000023909.4"	8953	4255	10207	12413	8558	8848
"ENSMUSG00000023911.12"	774	385	943	1018	926	797
"ENSMUSG00000023912.10"	3705	1680	4443	5525	3816	4327
"ENSMUSG00000023913.17"	12721	6402	17657	22451	16059	11540
"ENSMUSG00000023914.16"	6	2	1	4	4	7
"ENSMUSG00000023915.5"	12114	6021	12908	15945	10541	12462
"ENSMUSG00000023918.12"	34	52	89	76	75	36
"ENSMUSG00000023919.7"	523	237	570	806	616	555
"ENSMUSG00000023921.9"	6579	2310	6416	7412	5312	6309
"ENSMUSG00000023923.10"	5251	1977	6924	7709	5080	5775
"ENSMUSG00000023926.8"	3	7	9	14	5	24
"ENSMUSG00000023927.15"	19672	7417	20741	24375	16497	19250
"ENSMUSG00000023930.14"	0	0	0	0	0	0
"ENSMUSG00000023931.5"	72	51	70	111	34	76
"ENSMUSG00000023932.9"	7630	3365	8468	11006	7517	8008
"ENSMUSG00000023935.10"	776	362	837	1284	845	831
"ENSMUSG00000023938.8"	2919	1545	3682	4502	3359	3461
"ENSMUSG00000023939.7"	1572	849	2066	2492	1853	1604
"ENSMUSG00000023940.14"	37	27	41	95	37	31
"ENSMUSG00000023942.15"	2315	1063	2741	3505	2498	2414
"ENSMUSG00000023943.7"	5	0	3	0	0	0
"ENSMUSG00000023944.14"	206393	86831	222151	271046	188945	211675
"ENSMUSG00000023945.7"	782	556	823	1461	923	1301
"ENSMUSG00000023947.8"	231	125	390	326	249	233
"ENSMUSG00000023949.7"	718	386	907	1180	864	1087
"ENSMUSG00000023951.17"	4676	2785	6009	7413	6318	6383
"ENSMUSG00000023952.13"	6364	3334	7382	9301	6863	7822
"ENSMUSG00000023953.9"	678	318	840	1099	770	797
"ENSMUSG00000023959.9"	868	585	1126	1446	930	1003
"ENSMUSG00000023960.13"	31441	15006	37355	49957	32251	32401
"ENSMUSG00000023961.16"	2858	1813	4166	5500	3313	3071
"ENSMUSG00000023963.10"	210	138	390	462	325	231
"ENSMUSG00000023964.15"	87	158	133	155	54	126
"ENSMUSG00000023965.13"	8821	3942	10213	12611	8691	10232
"ENSMUSG00000023966.8"	1087	585	1369	1653	1197	1156
"ENSMUSG00000023967.9"	3835	1937	4684	5652	4161	3871
"ENSMUSG00000023968.15"	34	15	35	39	28	19
"ENSMUSG00000023971.9"	1746	762	2215	2508	1990	1575
"ENSMUSG00000023972.10"	1779	764	2058	2674	1554	2030
"ENSMUSG00000023973.13"	8050	3660	9389	11158	8240	7906
"ENSMUSG00000023977.15"	9614	4371	10588	12802	8423	11529
"ENSMUSG00000023978.5"	5	1	0	4	0	3
"ENSMUSG00000023979.14"	21	14	28	36	40	29
"ENSMUSG00000023980.7"	1685	810	2156	2699	1932	1882
"ENSMUSG00000023982.8"	6	2	7	6	2	4
"ENSMUSG00000023984.17"	89	28	92	141	109	114
"ENSMUSG00000023987.14"	2	4	4	7	5	2
"ENSMUSG00000023988.8"	4472	2039	5147	5841	4386	4832
"ENSMUSG00000023990.18"	1194	650	1595	1763	1107	1235
"ENSMUSG00000023991.16"	2971	1181	3506	3907	2641	3200
"ENSMUSG00000023992.14"	708	308	1005	977	871	651
"ENSMUSG00000023993.7"	5	4	5	16	17	10
"ENSMUSG00000023994.13"	1606	806	1901	2447	1815	1886
"ENSMUSG00000023995.12"	5	2	2	6	10	8
"ENSMUSG00000023999.14"	165	104	158	224	133	167
"ENSMUSG00000024002.18"	14033	6185	15240	17491	12492	17062
"ENSMUSG00000024006.17"	2096	1147	2588	2917	2376	2566
"ENSMUSG00000024007.15"	1162	1046	1995	3132	2119	1170
"ENSMUSG00000024008.16"	14100	6794	17795	22292	15986	16668
"ENSMUSG00000024011.17"	243	116	298	301	231	372
"ENSMUSG00000024012.18"	54107	27755	62645	78869	58866	56315
"ENSMUSG00000024013.15"	699	301	905	1135	757	785
"ENSMUSG00000024014.8"	522	324	572	760	534	508
"ENSMUSG00000024018.18"	980	609	1329	1528	1326	1304
"ENSMUSG00000024019.18"	16002	6787	18284	23084	15687	17104
"ENSMUSG00000024026.13"	14242	6458	16377	21557	15633	13759
