Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
306,17788,1830.6
307,17475,1990.1
308,16856,807.42
309,16791,81.715
310,16740,1454.3
311,17949,924.25
312,17346,1455.6
313,16924,1984.5
314,17819,1950.5
315,17258,1606
316,17600,347.46
317,17938,1144.7
318,17541,1472.1
319,19041,1404.5
320,19815,733.56
321,18626,1071.6
322,19532,854.25
323,19415,995.31
324,19598,95.352
325,19729,834.87
326,19819,530.83
327,19281,1175
328,18853,1659.1
329,19305,1058
330,18588,1225.8
331,19906,222.26
332,19864,808.82
333,19403,255.04
334,19288,278.1
335,18782,1152.9
336,19934,63.787
337,19017,1191.9
338,19048,455.63
339,19801,359.66
340,19685,1117
341,19620,753.14
342,19334,1186.2
343,18350,1042.1
344,19650,423.09
345,19132,1617.4
346,18977,1005.1
347,19758,118.51
348,18641,925.66
349,19998,413.34
350,19740,639.88
351,18630,481.49
352,18864,797.57
353,19556,541.68
354,18413,862.49
355,20758,1611.1
356,21116,658.33
357,20993,303.43
358,21946,1197.3
359,22004,1330.5
360,21866,1119
361,21005,823.04
362,20985,758.4
363,20794,163.44
364,21375,297.32
365,20829,1164.4
366,20224,1722.9
367,20308,724.85
368,21952,885.76
369,21692,45.662
370,21848,1428.5
371,21722,1077
372,20938,1052
373,20775,1243.4
374,21956,1970.1
375,21581,339.47
376,20647,1403.3
377,20654,1621.4
378,20945,1436.9
379,21053,1346.7
380,21562,158.3
381,21450,274.29
382,20376,1836.5
383,21990,274.08
384,21909,1029.8
385,21831,115.57
386,21828,385.88
387,20832,416.29
388,21799,1247.6
389,20621,1701.9
390,20978,375.32
391,22704,938.15
392,22692,47.871
393,23450,1795.3
394,23213,1882.1
395,22574,367.86
396,22964,1153.4
397,23281,1970.8
398,22800,1019.4
399,22547,676.95
400,22750,819.49
401,22455,795.7
402,23307,98.698
403,22999,412.28
404,22938,952.71
405,22342,1280.9
406,23013,213.53
407,22607,1620.3
408,23041,1558.8
409,23216,60.94
410,22516,1539.9
411,24005,933.45
412,22669,1403
413,22311,1380
414,22353,463.27
415,22738,650.01
416,22767,1964.4
417,22303,1118
