Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
1306,18452,5674.4
1307,18209,5516.4
1308,19750,5066.6
1309,19919,5257.7
1310,19926,5043.5
1311,19821,4498.1
1312,19502,4263.2
1313,19173,4948.9
1314,19842,4949.2
1315,19335,4212.3
1316,19581,5148.5
1317,19576,4877.6
1318,19624,4320.6
1319,19730,5327.9
1320,18901,5574.9
1321,19283,4793.5
1322,19328,5246.1
1323,18921,4379.7
1324,19978,4823.2
1325,19548,4686.1
1326,19178,4514.7
1327,18834,4486.6
1328,19812,4320.4
1329,19600,5406.8
1330,19527,5834.7
1331,19103,5494.3
1332,19118,4296.9
1333,19700,5729.6
1334,18997,4563.6
1335,19017,4701.2
1336,18409,5839.8
1337,18364,5497.9
1338,20769,4484.5
1339,20463,4556
1340,20333,5414.1
1341,20859,5880.5
1342,20597,5760
1343,20825,4664.7
1344,20204,5089.4
1345,20457,5114.7
1346,20820,4894.2
1347,20641,5023.4
1348,21080,5197.3
1349,20591,5113.4
1350,21075,5024.6
1351,20203,5220.8
1352,21448,5873.3
1353,20793,5770.6
1354,20571,5258.6
1355,20175,4595.1
1356,21501,4152.8
1357,21281,5905.8
1358,21108,5763.6
1359,20610,4858.7
1360,20329,4936.4
1361,21465,4423.7
1362,21219,5692.2
1363,21133,5247.5
1364,20651,4410.1
1365,21630,4860.2
1366,21384,5492.9
1367,21250,4141.4
1368,21981,4994.2
1369,21021,5633.1
1370,21447,5237.8
1371,21477,5994.5
1372,20237,4731.5
1373,21682,5331.4
1374,20964,4672.1
1375,20735,5153.5
1376,20427,4125.3
1377,21112,5949.7
1378,21837,5442.5
1379,21507,5714.7
1380,21687,5526.6
1381,21526,4521.2
1382,21230,5408.1
1383,22017,4796.7
1384,21793,4635.6
1385,21590,5156.9
1386,21366,4181.8
1387,21350,5999.9
1388,21054,4465.6
1389,21708,4310.1
1390,21934,4745.4
1391,21832,4232.6
1392,21315,4387.1
1393,20842,4145.5
1394,21820,5619.9
1395,21250,4236.5
1396,20972,5959.5
1397,20701,4133.7
1398,20427,5660.4
1399,20130,4915.5
1400,21980,4591
1401,21845,4886.3
1402,21912,4679.1
1403,21611,4649.2
1404,20717,5448.3
1405,20440,4292.2
1406,22040,4421
1407,21153,4340.2
1408,21832,4748.8
1409,21511,5055.2
1410,21130,4186.8
1411,20916,4496
1412,21350,5221.7
1413,22034,4328.4
1414,22039,5323
1415,22039,5544.3
1416,20962,4871.7
1417,21983,5475.5
1418,21772,4668.4
1419,21571,4305.6
1420,21127,4568.1
1421,20860,5526.6
1422,23056,4288.1
1423,24024,4994.4
1424,23884,4800.3
1425,23252,5148.7
1426,23957,5063.5
1427,24029,5151.1
1428,23175,5106.4
1429,23004,4232.1
1430,22186,5074.5
1431,22893,4187.9
1432,23163,5217.8
1433,22833,5334.9
1434,24027,4893.9
1435,22574,5454.4
1436,23342,5152
1437,23228,5657
1438,23097,4758.8
1439,23665,5121.6
1440,22521,4437.7
1441,23970,4237.1
1442,22406,5955.9
1443,22262,4917
1444,23689,5588.6
1445,22512,4831.5
1446,22809,4776.9
1447,24019,4582.1
1448,22620,5325.3
1449,22585,5759.2
1450,22624,5039.9
1451,22181,5273.5
1452,23848,4672.7
1453,23140,4407.6
1454,22942,4593.6
1455,23489,5029.4
1456,23195,5515.7
1457,22313,5434.5
1458,22333,5281.7
1459,24020,5839.6
1460,23475,5985.6
1461,22717,5920.3
1462,22571,6030
1463,23841,5631
1464,23045,4965.4
1465,22741,4512.1
1466,23771,5719.7
1467,22821,5070.2
1468,22413,4535.5
1469,22329,5776.2
1470,23213,5823.6
1471,22274,4640.1
1472,23817,5282
1473,22850,4934.7
1474,22252,5129
1475,23771,5818.8
1476,23395,5915.8
1477,22423,5507.8
1478,22681,4634.6
1479,23690,4245.7
1480,23540,5806.5
1481,23179,5377
1482,22279,5605.5
1483,22877,5941.1
1484,22634,5572.8
1485,23412,5408.5
1486,23593,7278.9
1487,22621,7173.1
1488,23794,6720.9
1489,23207,7391.2
1490,23528,7171.4
1491,23475,6567.6
1492,22898,6861.3
1493,23589,6568.4
1494,23091,7206.4
1495,22956,7381.3
1496,23736,7112.7
1497,23401,7367.7
1498,22813,7893.2
1499,22158,7946.3
1500,23365,7079.8
1501,22721,6529.7
1502,23681,7017.8
1503,23395,6319.2
1504,22597,7819.6
1505,22498,7763.7
1506,23377,8029.4
1507,23299,6771.4
1508,22521,6838.4
1509,22498,6710
1510,23358,6459.5
1511,23343,7254.7
1512,23379,6778.5
1513,22793,7726.6
1514,22698,6655
1515,22831,7461.3
1516,22602,6786.9
1517,22973,6478.1
1518,23125,7959
1519,22811,6358.9
1520,22763,7059.5
1521,22585,7970.6
1522,22293,6970
1523,23722,6549.7
1524,23810,6264.1
1525,23884,6396.9
1526,22721,7537.9
1527,23286,7818.9
1528,22917,6648.1
1529,22347,6707.1
1530,22797,8017.1
1531,22388,8042.2
1532,23908,7965.3
1533,22640,6485.1
1534,23798,7790
1535,23128,7709.7
1536,22568,7089.8
1537,23828,6780.4
1538,23188,6594.4
1539,22190,6822.7
1540,23379,7198.4
1541,22237,7575.4
1542,21317,7986.8
1543,21179,7802.6
1544,20915,7841.5
1545,20348,7139.6
1546,21265,7900
1547,20993,7947.3
1548,20188,7059.3
1549,20212,7230.2
1550,21761,7881.8
1551,20688,7760.1
1552,21528,6251.6
1553,21263,6224.2
1554,21603,7865.1
1555,21374,6301.3
1556,21671,7967.7
1557,20542,7398.2
1558,21784,7465.4
1559,20776,7673.5
1560,20834,6566.8
1561,21908,7555
1562,21779,6318
1563,20561,7729.7
1564,21394,6486.1
1565,21813,7776.4
1566,20456,7658.2
1567,20409,7780.1
1568,21572,6415.4
1569,21193,6510.9
1570,20557,7177.4
1571,21834,7171.1
1572,21451,7548.6
1573,21021,6344.9
1574,21347,7469.5
1575,20783,7207.4
1576,20228,7393.6
1577,20928,6487.3
1578,21541,7650.8
1579,21758,6719.2
1580,21745,6465
1581,20583,6958.3
1582,21702,7692.9
1583,20364,7492.3
1584,19371,6356
1585,19117,6479.7
1586,19321,6234.5
1587,18173,7987.7
1588,19022,6622.1
1589,19468,6236.4
1590,19214,7924.1
1591,19793,7562.2
1592,18862,6359.8
1593,19226,6646.6
1594,19066,6259.5
1595,19312,6711.2
1596,18728,6676.1
1597,18139,7038
1598,18668,6383.3
1599,18132,6622.2
1600,19239,6294.9
1601,18703,6775.2
1602,18550,6611.8
1603,18158,6731.7
1604,19021,6766
1605,18466,6150.1
1606,18279,6891.7
1607,19134,6816.7
1608,18679,6206
1609,19794,8018.2
1610,19113,7822.8
1611,18083,7982.7
1612,19562,6188
1613,18466,6786.5
1614,18225,7834.2
1615,19984,6858.9
1616,19123,8034
1617,18665,8042.8
1618,19104,6332.4
1619,18825,6194.3
1620,19568,6429.5
1621,18973,7175.4
1622,18114,7817.3
1623,18985,7657
1624,18764,6532.5
1625,19010,7081.4
1626,18599,6503.6
1627,18201,6569
1628,19233,7794
1629,19321,7849.4
1630,18951,8004.2
1631,18917,6866.9
1632,18612,7728
1633,19679,7890.7
1634,19452,7768.1
1635,19822,7693
1636,18944,7833.9
1637,19893,6932.3
1638,19155,6287.7
1639,18232,6403
1640,18436,6458.4
1641,18356,7948
1642,19571,6912.3
1643,19508,6527.8
1644,18629,7398.3
1645,19953,7312.6
1646,19342,6910.5
1647,18755,6987
1648,18857,6620.5
1649,19761,7783.2
1650,18619,6299.6
1651,18201,6190.9
1652,18510,6276.1
1653,18948,7511.1
1654,19789,6310
1655,18321,6540.2
1656,17960,6994.2
1657,16415,7084.9
1658,17263,7349.9
1659,17208,6990.3
1660,16235,6565
1661,16455,7550.5
1662,17749,8003.9
1663,17427,7764.7
1664,17266,7735.1
1665,16413,6603.8
1666,17410,6949.4
1667,16225,7025.6
1668,17746,6967.6
1669,16418,7346.4
1670,16223,7723.7
1671,17259,7131.4
1672,17028,7693.9
1673,16560,7870.9
1674,16508,6990.7
1675,16445,7708.2
1676,17867,7062
1677,17486,7594.8
1678,17035,6938.8
1679,17586,7892.4
1680,17175,7465.9
1681,16567,7165.5
1682,16591,6518.2
1683,17792,7617.3
1684,16607,7490.2
1685,16263,7232.1
1686,16974,7196.9
1687,17893,6606
1688,16107,6763.4
1689,17252,7931.7
1690,16399,6936.6
1691,17750,6446
1692,16893,6254.3
1693,17542,6832.8
1694,17759,6767
1695,17091,7068.5
1696,16736,7029.7
1697,16507,6558.1
1698,17547,7368.9
1699,17737,7044.4
1700,15778,7688.1
1701,15643,7120.5
1702,15488,7810.7
1703,14616,7099.5
1704,14311,7706.6
1705,15738,7097.3
1706,15165,7540.6
1707,15597,7993.5
1708,14269,7360.4
1709,15364,7258.6
1710,15050,7186.2
1711,15518,7031.4
1712,15854,7474.3
1713,15351,7752.3
1714,15629,6577.6
1715,15443,7473.3
1716,15353,7092.7
1717,15039,7534.3
1718,14930,7034.2
1719,14442,7790.3
1720,15002,7613.4
1721,14374,8001.9
1722,14970,7472.1
1723,14456,7441.3
1724,15695,7569.7
1725,14889,7175.5
1726,15168,7076
1727,14377,7300.7
1728,15142,7313.8
1729,14331,7557.4
1730,14238,6804.3
1731,15607,7378.5
1732,15586,7213.8
1733,15264,7444
1734,15023,7569
1735,15259,7980.3
1736,15144,6465.1
1737,14399,6517.8
1738,15118,7975.4
1739,14432,6619.1
1740,14578,7601.2
1741,15628,7936.5
1742,15152,6967.8
1743,14785,7678.8
1744,14822,7957.6
1745,14836,7848
1746,15656,6776
1747,15800,6634.6
1748,14273,6574.3
1749,15091,7744.5
1750,14679,7627.6
1751,12774,7862.5
1752,12704,6370.2
1753,12678,6506.7
1754,12126,6891.6
1755,13700,7290.4
1756,12797,7226.4
1757,12272,7067.3
1758,12141,7929.9
1759,12985,7774.4
1760,12857,6467
1761,12177,7548.7
1762,12795,7978.4
1763,12653,7170.1
1764,12338,7479
1765,13570,7815
1766,12545,7582.8
1767,12155,7749.9
1768,12942,7204.8
1769,12881,7351.5
1770,12242,8029.3
1771,12320,7213.1
1772,12738,6630.6
1773,13258,7186.8
1774,12530,6518.4
1775,13489,7904
1776,12924,7983.2
1777,12226,7339.1
1778,13666,7126.5
1779,13230,6393.1
1780,13083,7281.8
1781,13742,7963.1
1782,13460,7387.9
1783,13206,7051.9
1784,12786,8054.4
1785,12581,7012.3
1786,12092,6510.5
1787,13651,6618.4
1788,13196,6675.1
1789,13720,7664.7
1790,13056,6313.6
1791,13069,7542.6
1792,12496,6828.8
1793,13412,6649.9
1794,11656,7629.2
1795,11257,7513.4
1796,11319,7607.7
1797,11268,7034.8
1798,11119,7131.6
1799,11159,6929.2
1800,10935,7146.5
1801,10896,6349.9
1802,10762,7803.3
1803,10601,7689.1
1804,11027,7743
1805,11009,6944.9
1806,11400,7410.9
1807,11205,7703.3
1808,10222,7904.3
1809,11342,7706.7
1810,11338,7234.1
1811,11483,7565.1
1812,11653,7424.9
1813,10857,7062
1814,11753,7473.3
1815,10802,7944.2
1816,10620,7335.3
1817,11821,7056
1818,11686,7542.7
1819,10970,7978.8
1820,10893,7763.4
1821,11755,7154.2
1822,11855,7217.8
1823,11104,6757.4
1824,11768,6555.1
1825,9574.8,6885.4
1826,9392.6,6391.5
1827,9433.4,7923.1
1828,9253.3,6931.5
1829,9283.4,7370.5
1830,9237.3,6721.6
1831,9118.8,6620.6
1832,9118.1,7484.1
1833,9118.8,7248.8
1834,9108.6,6416.7
1835,8878.8,6406.7
1836,8741.3,7332.9
1837,8756.5,7416.3
1838,8727.9,6252.6
1839,8662.7,7579.1
1840,8416.2,7314.9
1841,8431.3,6376.8
1842,8202.5,7327.9
1843,8107.9,7400.1
1844,9546.4,7836.9
1845,9436.3,7244.8
1846,9169.8,6530.1
1847,9152.9,6765.6
1848,8157.3,6980.3
1849,9516.1,7052
1850,9530.3,7180.8
1851,9694.3,7131.8
1852,9450.6,8042.8
1853,8398.4,7163.8
1854,9374.2,6923.6
1855,9116.4,7018
1856,8227.3,7780.5
1857,8104.8,7089.3
1858,9298.4,6202.3
1859,8536.5,7247
1860,9092.7,7641.2
1861,8711.2,6783.6
1862,8241.1,7171.8
1863,8083,7198.3
1864,7642,7268
1865,7616.8,7097.9
1866,7615.1,7298.3
1867,7333.9,6138
1868,7097.5,8038.7
1869,7011.4,7480
1870,6849.6,6229.9
1871,6793.3,7330.5
1872,6567.8,7328.8
1873,6530,6326.6
1874,6654.5,7890.4
1875,6511,7411
1876,6315.6,7671.3
1877,6358.1,6345.9
1878,6233.7,7352
1879,6111.3,6689.9
1880,6041.7,7185.3
1881,6992.1,6136
1882,6349.3,6506.5
1883,6858.6,6379.1
1884,6055.4,7307.6
1885,6177.2,6562.2
1886,6150.8,7046.3
1887,7702.2,7075.5
1888,6833.1,7912.1
1889,7698.8,7651.9
1890,7348.8,7768.4
1891,6711.9,7623.9
1892,6689.1,6253.2
1893,6357.6,7538.2
1894,6500.4,7603.9
1895,6109.3,6822
1896,7878.5,7149.6
1897,7688.8,7917.2
1898,7044.2,7660.9
1899,6534.2,6976.4
1900,7163,7837.9
1901,6326.1,6967
1902,6390.8,7411.8
1903,7236.9,7590.3
1904,6456.8,6600.3
1905,6186.7,7483
1906,6460.2,7771.3
1907,7848.1,6843.9
1908,7651.7,7567.9
1909,6627.8,6575
1910,5340.9,6677.2
1911,5341.3,6762.3
1912,5377.9,7848.4
1913,5336.9,6219.1
1914,5226.4,7641.9
1915,5212.5,6818.3
1916,5158.4,6968.9
1917,5125,6674.7
1918,5059.4,6844.9
1919,4991,7094.3
1920,4940.3,6796
1921,5067.2,6568.6
1922,4900.1,7416.4
1923,4808.3,7089.3
1924,4751.7,7405.1
1925,4699,6899.3
1926,4735.8,7011.8
1927,4579.4,7123.7
1928,4626.8,7286.7
1929,4427.5,7348.3
1930,4169.5,6428.8
1931,4075,6560.3
1932,4113.4,7457.9
1933,5039.5,7554.5
1934,4876.1,7346.8
1935,4483,7460.4
1936,4335.3,7644.5
1937,5212.3,6478
1938,4917.1,6380.9
1939,5445.8,6862.4
1940,5504.3,6446.5
1941,4518.2,7638.6
1942,5556.2,6776
1943,5261.6,7466.1
1944,4576.9,7772
1945,5180.3,6332.8
1946,5127.6,7743.2
1947,4917.4,7672.2
1948,5088.3,6481.6
1949,5000.2,6278.8
1950,4513.7,6411.3
1951,5299.3,6933.2
1952,5156.8,8002.7
1953,5181.3,7579.5
1954,4741.1,8014.1
1955,3749.5,7603
1956,3649.3,7670.9
1957,3531.8,7537.4
1958,3428.7,7398.9
1959,3466.4,6431.6
1960,3371.7,7548.8
1961,3337.5,7299.1
1962,3279.8,6484.9
1963,3275.3,6776.9
1964,3141.9,7174.9
1965,3243.6,7599.2
1966,3196,6659.1
1967,2856.5,6527.1
1968,3031.3,7645.6
1969,2793.5,7815.7
1970,2736.9,7039
1971,2980,7904.5
1972,2919.4,7740.9
1973,2776.4,6896.7
1974,2494.6,6597.3
1975,2547.1,7944.2
1976,2481.7,6675.7
1977,2533.8,7251.1
1978,2445.1,6472.5
1979,2497.1,6867.8
1980,2342.1,7188.6
1981,2242,7373.7
1982,2329.2,6488
1983,2257.8,7474.9
1984,2201,6477.1
1985,2210.5,7124.2
1986,2203.3,6920.4
1987,2126.4,7282.2
1988,3564.9,7645.1
1989,2782.6,7192.8
1990,2349.8,7602.8
1991,3348.9,6307.2
1992,3074,7797.8
1993,2775.4,7839.8
1994,2424.7,7302.9
1995,2851.6,7501.8
1996,2699.1,7339.9
1997,2526.5,6793.8
1998,1778.7,7511.9
1999,1601.1,7761.2
2000,1445.2,7653
2001,1271.1,7228.9
2002,1365.4,7707.6
2003,1375.6,7838.4
2004,1271.8,7082.3
2005,1193,6866.8
2006,1106.2,6956.1
2007,1115.9,6689.7
2008,994.28,6798.1
2009,1039.5,6732.3
2010,922.73,6312.1
2011,1021.1,7064.7
2012,923.85,6532.9
2013,760.57,7568.4
2014,640.41,7590.8
2015,572.57,7418.4
2016,708.13,7474.7
2017,611.24,7046.8
2018,576.47,7145.6
2019,473.69,7213.4
2020,407.3,7328.4
2021,410.25,6996
2022,381.91,7123.2
2023,338.78,6855.9
2024,267.56,7338.9
2025,195.02,7216.3
2026,136.52,7825.2
2027,87.192,7946.4
2028,102.04,7640.2
2029,160.33,6402.9
2030,873.61,7067.1
2031,158.3,6952.2
2032,1630.8,7904.3
2033,699.69,7286.8
2034,326.46,6484.2
2035,1557.6,7622.9
2036,531.72,6268.6
2037,464.94,6536.8
2038,59.501,6708.2
2039,1285.7,7367.7
2040,222.09,6606.1
2041,91.69,6525.7
2042,1566.4,7183.5
2043,254.01,7979.9
2044,605.81,6498
2045,1111.9,7147.5
2046,642.74,6334.9
2047,130.27,7497.1
2048,1420.2,8953.5
2049,1281.8,9428.7
2050,1225.9,9305.3
2051,1227.1,9614.7
2052,1129.2,8954.9
2053,1075.3,9252.2
2054,945.6,8432.8
2055,891.93,8269.5
2056,730.49,8281.8
2057,548.14,9515.4
2058,478.11,8563.4
2059,499.69,9097.6
2060,380.88,9230
2061,244.8,9256
2062,267.31,9484.9
2063,166.17,9663.7
2064,932.79,9856.3
2065,1009.1,9405.1
2066,677.49,9730.9
2067,597.64,9318.4
2068,1084,9678.5
2069,981.63,8535.5
2070,1670.3,8958.1
2071,1249.7,9510.4
2072,826.07,9738.6
2073,1447.8,9665.7
2074,1246.6,9876.8
2075,1461.2,8670.5
2076,1169.8,8510.8
2077,537.95,8431
2078,727.04,9544.8
2079,905.11,9621.5
2080,374.81,9582
2081,3796.8,9387.9
2082,3280.4,9661.2
2083,3328.2,9550.6
2084,3308.8,8961.8
2085,2936.1,9356.8
2086,2763.7,8558.4
2087,2565,8661.9
2088,2513.7,9363
2089,2501.3,8917.2
2090,2436,9264.3
2091,2234.1,9423
2092,2944.9,8851.9
2093,3242.2,8431.1
2094,3376.1,8519.1
2095,3459.4,8802.1
2096,2414.8,8668.6
2097,3571.6,9142.3
2098,3527.4,8416.7
2099,3478.5,8922.7
2100,2944.6,8456.5
2101,2810.9,8649.5
2102,2604.9,8508.8
2103,2662.1,9253.9
2104,3493.1,9416.4
2105,3319.7,9751.2
2106,3553.7,8602.2
2107,3118.7,8674.9
2108,2897.8,9465.6
2109,2754.8,9412.3
2110,2557.9,8702.7
2111,2329.3,9294.1
2112,3412.5,9766
2113,3769.8,8816.7
2114,3164.5,8766.6
2115,3103.7,8470.5
2116,2264.8,8583.1
2117,3671.7,9407.8
2118,3653.6,9066.3
2119,2867.1,9653.9
2120,5574.5,8810
2121,4519.1,9957.6
2122,4437.4,9939.6
2123,4259.7,9817.1
2124,5046,8820.8
2125,4958.5,9402.9
2126,4611.7,9369.1
2127,4259.5,8993.4
2128,5453.6,9078.3
2129,4775,9759
2130,4464.2,9768.3
2131,5399.4,8751.4
2132,4657.3,9711
2133,4661.3,8711
2134,4140.7,9969
2135,5602,9992
2136,4542.9,9438.6
2137,5291.2,9648.9
2138,4193.9,9667.2
2139,5862.2,8682.1
2140,5568.6,9841.4
2141,5495.2,9408
2142,5305.3,8622.5
2143,5336.5,9971.4
2144,4431.7,8449.5
2145,5373.1,9213
2146,5166.2,9845.3
2147,4976.3,9669.7
2148,4944.6,9963.7
2149,5160.1,9497.2
2150,4809.7,8252.7
2151,4706.1,8826.2
2152,4448.5,9345.7
2153,4244.7,8679.6
2154,4146.3,9586.4
2155,4171,9201
2156,4889.6,8734.6
2157,5637.5,9380.4
2158,5098.4,8975.6
2159,5696.5,8881.8
2160,4830.3,9500.5
2161,4343.8,9678.7
2162,4396.2,8333.5
2163,5163.5,8686.9
2164,4782.8,8487.4
2165,5790.1,8888.7
2166,4977.3,9179.3
2167,5208.2,9759.1
2168,4908.4,8949.3
2169,5535.7,9595.6
2170,5358.1,8396
2171,4276.6,9875.6
2172,4647.9,8372.2
2173,5814.3,9646.4
2174,4547.7,8602.9
2175,5612.5,9129.8
2176,5731.9,9914.3
2177,5530.6,9401.8
2178,4471.2,8955
2179,4999.4,8354.7
2180,7777.4,9644.9
2181,7677.6,9551.6
2182,7587.2,9200.4
2183,7545.1,9411.4
2184,7440,9320.5
2185,7505.3,9646.1
2186,7530.1,9799.3
2187,7415,9567
2188,7279.4,9791.4
2189,7204.3,9203.8
2190,7122,9585.7
2191,7104.3,9403.9
2192,6937.6,9557.8
2193,6740.4,8855.4
2194,6682.3,8230.3
2195,6713.8,8491
2196,6680.6,8497.8
2197,6519.8,8300.3
2198,6445.1,8643.5
2199,6294.4,9933.8
2200,6201.9,9978.4
2201,6218.4,9740.5
2202,7336.4,9461
2203,7350.4,9156.9
2204,6502.2,8207.4
2205,7016.2,9306.2
2206,6523,9871.2
2207,7769.8,9276.7
2208,7583.9,9494
2209,7296.1,9650.4
2210,6233.2,8961.2
2211,6829.1,8837.3
2212,7231.8,9003.9
2213,7126.6,9528.1
2214,6224.6,8373
2215,6135.9,9307.9
2216,6605.1,8328.4
2217,6328.7,9714
2218,7792.6,10011
2219,6994.6,9176.4
2220,6239.6,8769.7
2221,7596.5,9072.2
2222,6829.1,9452.4
2223,7369.5,9800.9
2224,6474.6,9050.6
2225,6456.7,8808.7
2226,6657.8,9316
2227,6743,9597.4
2228,11973,8619.9
2229,11383,8753.4
2230,11189,8704
2231,11017,9444.9
2232,10885,9393.7
2233,10971,9675.4
2234,10816,9954.8
2235,10721,9496.4
2236,10628,9961.9
2237,10539,9287.2
2238,10557,9642.6
2239,10515,9447.7
2240,10395,9405.2
2241,10318,8859.4
2242,11956,9179.9
2243,10743,9676.2
2244,11377,8523.2
2245,11948,8422.3
2246,10552,9816.2
2247,11907,8824.8
2248,11606,8895.7
2249,10907,8437.5
2250,10814,9805.2
2251,11947,8331.2
2252,11403,8408
2253,11571,9592.7
2254,11686,8831.5
2255,11198,8240
2256,11449,9629.8
2257,11944,8500.2
2258,11974,9054
2259,11753,9171.1
2260,11614,9138.7
2261,11987,8869.2
2262,11267,9731
2263,13070,10029
2264,12790,8592.5
2265,12744,9680.3
2266,12616,9826.4
2267,12264,9265.8
2268,13865,9768.7
2269,13953,9034.8
2270,13867,9407.1
2271,12832,9575.9
2272,12255,9078.9
2273,13469,9522.9
2274,12872,8748.9
2275,13208,8265.1
2276,13000,9658.4
2277,12669,8421.3
2278,12153,9004.6
2279,13407,8274.8
2280,12330,8420.3
2281,12504,8324.5
2282,13070,9422.9
2283,12523,8641.5
2284,12366,8650.3
2285,12477,9078.6
2286,13180,9642.9
2287,12778,8287.6
2288,12529,8771.4
2289,13308,8883.2
2290,13173,9021.2
2291,13073,8866.1
2292,13203,8720.5
2293,12107,8788.4
2294,12664,8783.7
2295,12246,9350.2
2296,12767,8814.6
2297,12543,8574.3
2298,13133,8515.3
2299,12350,8894.7
2300,13623,9458.8
2301,13523,9247
2302,13207,8876.7
2303,13005,8652
2304,12496,8432.7
2305,13536,8942.9
2306,13923,8731
2307,13283,8401.8
2308,13498,9441.2
2309,15947,8272.4
2310,15553,9022.7
2311,15283,9174.2
2312,15075,8949.6
2313,15108,9569
2314,15072,8222.1
2315,14736,8958.3
2316,14540,9017.3
2317,14612,8846.7
2318,14385,8344
2319,14207,9824.1
2320,14967,9982.7
2321,15110,8848.7
2322,14519,8634.3
2323,14389,9044.2
2324,14620,9996.3
2325,15372,8888.1
2326,14875,8969
2327,15173,8582.4
2328,14870,9661
2329,14334,9840.7
2330,14436,8855.7
2331,14349,8694.9
2332,14354,9531
2333,14929,8601.6
2334,15255,8970.4
2335,15654,8281.6
2336,15442,9148
2337,14936,9765.1
2338,14530,8275.9
2339,15111,9651.1
2340,14889,9465.6
2341,15609,9291.7
2342,15170,8734.8
2343,14252,9176.3
2344,15300,9738.6
2345,15355,8643.6
2346,14714,9351.2
2347,15874,8439.4
2348,15584,9532.3
2349,15387,8259.2
2350,15450,8427.8
2351,16595,8792.6
2352,17563,8685
2353,16847,8842.5
2354,17158,8639.9
2355,16520,8197.3
2356,16796,8266
2357,17373,8631.3
2358,16909,8917.8
2359,17602,8747.9
2360,17347,8410.3
2361,16685,8379.1
2362,16484,8914.6
2363,17407,8832.3
2364,17229,8473.3
2365,17722,8753.6
2366,16690,8241.7
2367,16676,8614.5
2368,17128,8198.4
2369,16345,8354.9
2370,16224,8655.4
2371,16387,8811.4
2372,17727,8539.4
2373,16889,8657.4
2374,17518,8671.5
2375,16510,8619.3
2376,16415,9074.9
2377,17832,8677.5
2378,18005,8330.9
2379,18008,8615.2
2380,17269,8923.1
2381,17369,9137.7
2382,17148,9083.1
2383,17664,8829.4
2384,17381,9072.2
2385,16509,9249.1
2386,16377,9232
2387,17562,9175.1
2388,18999,8472.1
2389,19634,8500.4
2390,18922,8584.9
2391,19375,8751.4
2392,18786,8210.4
2393,19539,8278
2394,18289,8265
2395,19999,8605.3
2396,19860,8701.5
2397,18976,8183.4
2398,19164,8369.4
2399,19878,8315.1
2400,19689,8652.3
2401,18536,8287.8
2402,18437,8528
2403,19545,8780.1
2404,18782,8387.5
2405,19918,8460
2406,19546,8944.7
2407,18764,8962.3
2408,19196,8557.7
2409,19248,8894
2410,18658,8859.6
2411,18763,8587.4
2412,19148,8698.8
2413,18335,8508.9
2414,19960,9429
2415,19368,8309.7
2416,19420,9080.1
2417,18976,8974.8
2418,19638,8868.2
2419,18362,8863.4
2420,18912,8798.7
2421,19310,9102.2
2422,18732,9169
2423,19355,9260
2424,19041,9143.2
2425,21779,8867.7
2426,21551,8850.4
2427,21357,8921.2
2428,21236,9035.4
2429,21205,8962.4
2430,21197,8738.1
2431,21087,8986.1
2432,21408,9090.3
2433,21071,8627.9
2434,21578,8878.2
2435,21344,8784.1
2436,20992,8733.5
2437,20911,8586.2
2438,20748,8547.1
2439,21401,8888.5
2440,20745,8879.4
2441,20426,8296.4
2442,20298,8468.3
2443,22001,8363.2
2444,21705,8585.9
2445,20609,8854.7
2446,20279,8791.8
2447,22019,9263.1
2448,21019,9124.1
2449,20649,8636.3
2450,21186,8689.3
2451,20564,9124.7
2452,21000,9324.5
2453,21706,8948
2454,20858,8984.2
2455,20896,9419
2456,21016,9228.8
2457,21781,8446.5
2458,21801,8338
2459,20717,9294
2460,23092,9814.3
2461,23515,9790.7
2462,22929,9946
2463,22743,8332.5
2464,22790,9789.4
2465,22719,9856.1
2466,23086,8857.8
2467,23299,9758.8
2468,22992,8766.7
2469,22705,8228.8
2470,22250,9190
2471,22219,9066.3
2472,22357,9140.8
2473,23974,8290.3
2474,23228,9895.3
2475,23208,8915
2476,22961,8246.2
2477,23320,8487.8
2478,22693,8812
2479,24009,8545.1
2480,23869,9384.3
2481,23800,9211.9
2482,23020,9315.1
2483,23602,8849.2
2484,23308,8619.2
2485,23776,8291.4
2486,23213,9945.3
2487,22710,9397.4
2488,23519,8204
2489,22996,9219.7
2490,22816,9896.2
2491,22584,9481.9
2492,23942,9303.9
2493,22929,8850.9
2494,22654,9866.5
2495,22512,9872.1
2496,23899,8413.7
2497,22550,8818.5
2498,23936,8632.2
2499,23335,8777.1
2500,22351,8547.4
2501,22838,8767.6
2502,22463,8621.2
2503,23164,9547.8
2504,22853,8468.1
2505,22785,9585.1
2506,22581,8776.8
2507,23648,8260.9
2508,23142,9824.3
2509,23595,8397.8
2510,23288,9172.4
2511,22655,9593.6
2512,23342,10297
2513,23456,10428
2514,23413,10566
2515,23322,10399
2516,22794,10243
2517,23211,10319
2518,23101,10266
2519,23136,10443
2520,13202,10946
2521,13292,11024
2522,12967,10799
2523,12663,10700
2524,12762,11319
2525,12679,10953
2526,12625,11290
2527,12574,11638
2528,12540,10879
2529,12429,11521
2530,12549,11489
2531,12278,11331
2532,12229,11515
2533,12244,11684
2534,12401,11373
2535,12845,11413
2536,12434,10758
2537,12859,11084
2538,12897,10898
2539,13171,11131
2540,13515,10886
2541,13320,11257
