""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
"ENSMUSG00000000182.9"	25.5579227649303	-0.537633825064933	0.600026634005128	-0.89601660092365	0.370243896984022	0.999818703842646	"Fgf23"
"ENSMUSG00000000183.6"	3.27833243561281	1.19919856117691	1.76157207507828	0.680754752043635	0.49602668527953	0.999818703842646	"Fgf6"
"ENSMUSG00000000184.12"	10285.5794197893	-0.023854783230307	0.0789600758863311	-0.302111959272275	0.762566715984401	0.999818703842646	"Ccnd2"
"ENSMUSG00000000194.13"	7252.69820788977	0.0602386708351673	0.0672317726179291	0.895985164298689	0.3702606868161	0.999818703842646	"Gpr107"
"ENSMUSG00000000197.8"	16092.4778717919	0.0181325625556959	0.0884946470654636	0.204900105904511	0.837650172474283	0.999818703842646	"Nalcn"
"ENSMUSG00000000202.9"	3588.73928976051	0.0929182837785034	0.086887567641886	1.06940827439748	0.284885740484211	0.999818703842646	"Btbd17"
"ENSMUSG00000000204.16"	7.16150175635669	0.726823286943041	1.26131833636355	0.576240958359896	0.564452324126443	0.999818703842646	"Slfn4"
"ENSMUSG00000000214.11"	912.343954048365	-0.883912018880601	0.620996221860576	-1.42337745024003	0.154626765813185	0.999818703842646	"Th"
"ENSMUSG00000000215.11"	11.6896303051665	2.61432214611417	1.19070084184398	2.19561627424861	0.0281194204065716	0.999818703842646	"Ins2"
"ENSMUSG00000000216.8"	27.43107814615	-0.123657898619793	0.649418346537644	-0.190413312588213	0.848985266576163	0.999818703842646	"Scnn1g"
"ENSMUSG00000000223.13"	9061.78307204168	-0.05468703209258	0.0820437201602611	-0.666559634128687	0.505053460195064	0.999818703842646	"Drp2"
"ENSMUSG00000000244.17"	23.5015139086388	-0.250297952165282	0.621866649364006	-0.402494574071894	0.687320080775081	0.999818703842646	"Tspan32"
"ENSMUSG00000000247.11"	8842.70528163223	0.0544852399747824	0.0701853861236557	0.77630462670374	0.437569141913746	0.999818703842646	"Lhx2"
"ENSMUSG00000000248.16"	4.62016590915174	-0.336669354386384	1.37616398333262	-0.244643340811086	0.806732602428283	0.999818703842646	"Clec2g"
"ENSMUSG00000000253.13"	4907.18735726976	0.0236016219563359	0.0755113165304017	0.312557415772689	0.754616935432458	0.999818703842646	"Gmpr"
"ENSMUSG00000000263.15"	46.6648930817649	-0.415903604013751	0.668586303160104	-0.622064200310362	0.533899653892336	0.999818703842646	"Glra1"
"ENSMUSG00000000266.11"	3596.22400489455	-0.075444514040063	0.0731935811043365	-1.03075314667987	0.302656594921412	0.999818703842646	"Mid2"
"ENSMUSG00000000275.16"	980.342755160109	-0.0371810310354748	0.166824044525519	-0.222875731979913	0.823632224421891	0.999818703842646	"Trim25"
"ENSMUSG00000000276.11"	10883.8029934905	-0.12231746707011	0.083463218590595	-1.46552540311324	0.142777626819847	0.999818703842646	"Dgke"
"ENSMUSG00000000278.10"	1995.70108741695	-0.0638456656865765	0.136198600348325	-0.468768882523701	0.639234844545106	0.999818703842646	"Scpep1"
"ENSMUSG00000000282.12"	5660.65354171462	-0.0541353973209726	0.0947791345363068	-0.571174210292404	0.567881558215567	0.999818703842646	"Mnt"
"ENSMUSG00000000290.13"	646.512709063162	0.250429455426902	0.139482904039106	1.79541325979772	0.0725878813881937	0.999818703842646	"Itgb2"
"ENSMUSG00000000295.13"	1030.59118229262	-0.0327869686705096	0.122166669486088	-0.26837900065896	0.788407601842123	0.999818703842646	"Hddc2"
"ENSMUSG00000000296.8"	2050.1178688662	0.233362015836419	0.090192296854498	2.58738300248511	0.00967080314734369	0.718357140357249	"Tpd52l1"
"ENSMUSG00000000301.16"	214.763601277108	0.101480184500225	0.243102373006651	0.417438066297479	0.676358016420603	0.999818703842646	"Pemt"
"ENSMUSG00000000303.12"	827.102439113251	-0.0017000710025472	0.202311650276553	-0.00840322838661671	0.993295272717723	0.999818703842646	"Cdh1"
"ENSMUSG00000000305.12"	4757.51327702112	-0.150202564981242	0.107824900771818	-1.39302298361587	0.163612840624634	0.999818703842646	"Cdh4"
